country,leader_title,name,first,last,visit_type,n_articles,source
摩洛哥,国王,穆罕默德六世,2016-05-11,2016-05-11,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
莫桑比克,总统,纽西,2016-05-18,2016-05-18,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
印度,总统,慕克吉,2016-05-26,2016-05-26,国事访问,2,PRC MFA zyxw wayback backfill
多哥,总统,福雷,2016-05-30,2016-06-01,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
柬埔寨,国王,西哈莫尼,2016-06-03,2016-06-03,国事访问,2,PRC MFA zyxw wayback backfill
德国,总理,默克尔,2016-06-13,2016-06-13,正式访问,3,PRC MFA zyxw wayback backfill
俄罗斯,总统,普京,2016-06-25,2016-06-25,国事访问,2,PRC MFA zyxw wayback backfill
韩国国务,总理,黄教安,2016-06-26,2016-06-30,国事访问,1,PRC MFA zyxw wayback backfill (预告)
吉尔吉斯斯坦,总理,热恩别科夫,2016-06-27,2016-06-27,来华出席,1,PRC MFA zyxw wayback backfill
希腊,总理,齐普拉斯,2016-07-04,2016-07-06,正式访问,2,PRC MFA zyxw wayback backfill
巴新,总理,奥尼尔,2016-07-05,2016-07-10,正式访问,1,PRC MFA zyxw wayback backfill (预告)
刚果共和国,总统,萨苏,2016-07-06,2016-07-06,国事访问,1,PRC MFA zyxw wayback backfill
巴布亚新几内亚,总理,奥尼尔,2016-07-07,2016-07-07,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
欧洲理事会,主席,图斯克,2016-07-12,2016-07-13,正式访问,2,PRC MFA zyxw wayback backfill
美国,总统,国家安全事务助理赖斯,2016-07-25,2016-07-25,来华出席,1,PRC MFA zyxw wayback backfill
加拿大,总理,特鲁多,2016-08-30,2016-08-31,正式访问,4,PRC MFA zyxw wayback backfill
新加坡,总理,李显龙,2016-09-02,2016-09-02,来华出席,1,PRC MFA zyxw wayback backfill
巴西,总统,特梅尔,2016-09-02,2016-09-02,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
老挝,国家主席,本扬,2016-09-02,2016-09-02,来华出席,1,PRC MFA zyxw wayback backfill
塞内加尔,总统,萨勒,2016-09-02,2016-09-02,来华出席,1,PRC MFA zyxw wayback backfill
印度尼西亚,总统,佐科,2016-09-02,2016-09-02,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
阿根廷,总统,马克里,2016-09-03,2016-09-03,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
南非,总统,祖马,2016-09-03,2016-09-03,来华出席,1,PRC MFA zyxw wayback backfill
土耳其,总统,埃尔多安,2016-09-03,2016-09-03,来华出席,1,PRC MFA zyxw wayback backfill
泰国,总理,巴育,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
西班牙,首相,拉霍伊,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
哈萨克斯坦,总统,纳扎尔巴耶夫,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
埃及,总统,塞西,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
乍得,总统,代比,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
欧盟委员会,主席,容克,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
欧洲理事会,主席,图斯克,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
澳大利亚,总理,特恩布尔,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
意大利,总理,伦齐,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
英国,首相,特蕾莎·梅,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
美国,总统,奥巴马,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
俄罗斯,总统,普京,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
墨西哥,总统,培尼亚,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
韩国,总统,朴槿惠,2016-09-04,2016-09-05,来华出席,0,summit supplement (G20杭州2016)
印度,总理,莫迪,2016-09-04,2016-09-04,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
日本,首相,安倍晋三,2016-09-05,2016-09-05,来华出席,1,PRC MFA zyxw wayback backfill
英国,首相,特雷莎·梅,2016-09-05,2016-09-05,来华出席,1,PRC MFA zyxw wayback backfill
德国,总理,默克尔,2016-09-05,2016-09-05,来华出席,1,PRC MFA zyxw wayback backfill
法国,总统,奥朗德,2016-09-06,2016-09-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
秘鲁,总统,库琴斯基,2016-09-13,2016-09-14,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
白俄罗斯,总统,卢卡申科,2016-09-30,2016-09-30,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
葡萄牙,总理,科斯塔,2016-10-08,2016-10-09,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
乌拉圭,总统,巴斯克斯,2016-10-18,2016-10-20,国事访问,2,PRC MFA zyxw wayback backfill
菲律宾,总统,杜特尔特,2016-10-20,2016-10-20,会见/会谈(双边),3,PRC MFA zyxw wayback backfill
比利时,首相,米歇尔,2016-10-31,2016-10-31,国事访问,1,PRC MFA zyxw wayback backfill
几内亚,总统,孔戴,2016-11-02,2016-11-02,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
马来西亚,总理,纳吉布,2016-11-03,2016-11-03,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
老挝,总理,通伦,2016-11-28,2016-12-01,正式访问,2,PRC MFA zyxw wayback backfill
塞拉利昂,总统,科罗马,2016-12-01,2016-12-01,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
加蓬,总统,邦戈,2016-12-07,2016-12-07,国事访问,1,PRC MFA zyxw wayback backfill
吉尔吉斯斯坦,总统,阿塔姆巴耶夫,2017-01-06,2017-01-06,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
